"Provider","Month","Symbol","Customer","Country","KPI_Value","Comment"
"Operator ACME AL","04/01/2018","2G CSSR","All","AL","99.98",""
"Operator ACME AL","04/01/2018","2G EDGE Operator ACME OA","All","AL","112.9",""
"Operator ACME AL","04/01/2018","2G NA-W","All","AL","99.81",""
"Operator ACME AL","04/01/2018","2G NW CDR","All","AL","0.73",""
"Operator ACME AL","04/01/2018","2G PD","All","AL","715",""
"Operator ACME AL","04/01/2018","2G SMS MTM SR","All","AL","82.59",""
"Operator ACME AL","04/01/2018","2G/3G CSSR","All","AL","99.72",""
"Operator ACME AL","04/01/2018","2G/3G MTBDC","All","AL","316.73",""
"Operator ACME AL","04/01/2018","3G HSDPA-A","All","AL","99.42",""
"Operator ACME AL","04/01/2018","3G HSDPA Operator ACME OA","All","AL","2419",""
"Operator ACME AL","04/01/2018","3G NA-W","All","AL","99.99",""
"Operator ACME AL","04/01/2018","3G PD","All","AL","58",""
"Operator ACME AL","04/01/2018","4G Operator ACME OA","All","AL","17100",""
"Operator ACME AL","04/01/2018","4G PD","All","AL","38",""
"Operator ACME AT","04/01/2018","2G CSSR","All","AT","99.655903266667",""
"Operator ACME AT","04/01/2018","2G EDGE Operator ACME OA","All","AT","182.9671835522",""
"Operator ACME AT","04/01/2018","2G GPRS Operator ACME OA","All","AT","62.518052389427",""
"Operator ACME AT","04/01/2018","2G GPRS PD","All","AT","170.83552928273",""
"Operator ACME AT","04/01/2018","2G MBA","All","AT","98.713236666667",""
"Operator ACME AT","04/01/2018","2G NA-W","All","AT","99.817649",""
"Operator ACME AT","04/01/2018","2G NW CDR","All","AT","0.7489269",""
"Operator ACME AT","04/01/2018","2G PD","All","AT","114.300109934",""
"Operator ACME AT","04/01/2018","2G SMS DD","All","AT","10.164355914",""
"Operator ACME AT","04/01/2018","2G SMS MTM SR","All","AT","99.846520490024",""
"Operator ACME AT","04/01/2018","2G/3G CSSR","All","AT","99.856599366667",""
"Operator ACME AT","04/01/2018","2G/3G MTBDC","All","AT","742.75969596667",""
"Operator ACME AT","04/01/2018","3G HSDPA-A","All","AT","99.7180204",""
"Operator ACME AT","04/01/2018","3G HSDPA Operator ACME OA","All","AT","4843.3458667747",""
"Operator ACME AT","04/01/2018","3G NA-W","All","AT","99.810753233333",""
"Operator ACME AT","04/01/2018","3G PD","All","AT","50.785624676713",""
"Operator ACME AT","04/01/2018","4G Operator ACME OA","All","AT","57693.71276834",""
"Operator ACME AT","04/01/2018","4G PD","All","AT","21.026643333333",""
"Operator ACME CG","04/01/2018","2G CSSR","All","CG","99.82",""
"Operator ACME CG","04/01/2018","2G EDGE Operator ACME OA","All","CG","122.35815177455",""
"Operator ACME CG","04/01/2018","2G GPRS Operator ACME OA","All","CG","19.570784648977",""
"Operator ACME CG","04/01/2018","2G NA-W","All","CG","99.9",""
"Operator ACME CG","04/01/2018","2G NW CDR","All","CG","0.29895347619205",""
"Operator ACME CG","04/01/2018","2G SMS DD","All","CG","2.52",""
"Operator ACME CG","04/01/2018","2G SMS MTM SR","All","CG","99.86",""
"Operator ACME CG","04/01/2018","2G/3G CSSR","All","CG","99.871230507125",""
"Operator ACME CG","04/01/2018","2G/3G MTBDC","All","CG","860.34104896269",""
"Operator ACME CG","04/01/2018","3G HSDPA-A","All","CG","99.715420638616",""
"Operator ACME CG","04/01/2018","3G HSDPA Operator ACME OA","All","CG","3578.5034493292",""
"Operator ACME CG","04/01/2018","3G NA-W","All","CG","99.9",""
"Operator ACME CG","04/01/2018","4G Operator ACME OA","All","CG","18820",""
"Operator ACME CG","04/01/2018","4G PD","All","CG","21",""
"Operator ACME CZ","04/01/2018","2G CSSR","All","CZ","99.657",""
"Operator ACME CZ","04/01/2018","2G EDGE Operator ACME OA","All","CZ","167.77",""
"Operator ACME CZ","04/01/2018","2G MBA","All","CZ","99.651379310345",""
"Operator ACME CZ","04/01/2018","2G NA-W","All","CZ","99.932383333333",""
"Operator ACME CZ","04/01/2018","2G NW CDR","All","CZ","0.35014666666667",""
"Operator ACME CZ","04/01/2018","2G PD","All","CZ","122.191",""
"Operator ACME CZ","04/01/2018","2G SMS DD","All","CZ","9.8779310344828",""
"Operator ACME CZ","04/01/2018","2G SMS MTM SR","All","CZ","99.982391978878",""
"Operator ACME CZ","04/01/2018","2G/3G CSSR","All","CZ","99.779576666667",""
"Operator ACME CZ","04/01/2018","2G/3G MTBDC","All","CZ","1175.7303333333",""
"Operator ACME CZ","04/01/2018","3G HSDPA-A","All","CZ","99.916",""
"Operator ACME CZ","04/01/2018","3G HSDPA Operator ACME OA","All","CZ","3576.0289655172",""
"Operator ACME CZ","04/01/2018","3G NA-W","All","CZ","99.852333333333",""
"Operator ACME CZ","04/01/2018","3G PD","All","CZ","54.218965517241",""
"Operator ACME CZ","04/01/2018","4G Operator ACME OA","All","CZ","51341.93137931",""
"Operator ACME CZ","04/01/2018","4G PD","All","CZ","19.037931034483",""
"Operator ACME DE","04/01/2018","2G CSSR","All","DE","99.57",""
"Operator ACME DE","04/01/2018","2G EDGE Operator ACME OA","All","DE","63.11",""
"Operator ACME DE","04/01/2018","2G GPRS Operator ACME OA","All","DE","63.11",""
"Operator ACME DE","04/01/2018","2G GPRS PD","All","DE","235.17",""
"Operator ACME DE","04/01/2018","2G MBA","All","DE","99.77",""
"Operator ACME DE","04/01/2018","2G NA-W","All","DE","99.57",""
"Operator ACME DE","04/01/2018","2G NW CDR","All","DE","1.41",""
"Operator ACME DE","04/01/2018","2G PD","All","DE","235.17",""
"Operator ACME DE","04/01/2018","2G SMS DD","All","DE","10.48",""
"Operator ACME DE","04/01/2018","2G SMS MTM SR","All","DE","99.893185130143",""
"Operator ACME DE","04/01/2018","2G/3G CSSR","All","DE","99.57",""
"Operator ACME DE","04/01/2018","2G/3G MTBDC","All","DE","286.82",""
"Operator ACME DE","04/01/2018","3G HSDPA-A","All","DE","99.96",""
"Operator ACME DE","04/01/2018","3G HSDPA Operator ACME OA","All","DE","8673.76",""
"Operator ACME DE","04/01/2018","3G NA-W","All","DE","99.85",""
"Operator ACME DE","04/01/2018","3G PD","All","DE","43.91",""
"Operator ACME DE","04/01/2018","4G Operator ACME OA","All","DE","50751.56",""
"Operator ACME DE","04/01/2018","4G PD","All","DE","33.81",""
"Operator ACME GR","04/01/2018","2G CSSR","All","GR","99.78",""
"Operator ACME GR","04/01/2018","2G EDGE Operator ACME OA","All","GR","128.56",""
"Operator ACME GR","04/01/2018","2G GPRS Operator ACME OA","All","GR","24.77",""
"Operator ACME GR","04/01/2018","2G MBA","All","GR","100",""
"Operator ACME GR","04/01/2018","2G NA-W","All","GR","99.91",""
"Operator ACME GR","04/01/2018","2G NW CDR","All","GR","0.99",""
"Operator ACME GR","04/01/2018","2G SMS DD","All","GR","4.22",""
"Operator ACME GR","04/01/2018","2G SMS MTM SR","All","GR","99.98",""
"Operator ACME GR","04/01/2018","2G/3G CSSR","All","GR","99.75",""
"Operator ACME GR","04/01/2018","2G/3G MTBDC","All","GR","367.58",""
"Operator ACME GR","04/01/2018","3G HSDPA-A","All","GR","99.28",""
"Operator ACME GR","04/01/2018","3G HSDPA Operator ACME OA","All","GR","2702",""
"Operator ACME GR","04/01/2018","3G NA-W","All","GR","99.78",""
"Operator ACME GR","04/01/2018","3G PD","All","GR","47",""
"Operator ACME GR","04/01/2018","4G Operator ACME OA","All","GR","40748",""
"Operator ACME GR","04/01/2018","4G PD","All","GR","36",""
"Operator ACME HR","04/01/2018","2G CSSR","All","HR","99.37",""
"Operator ACME HR","04/01/2018","2G EDGE Operator ACME OA","All","HR","180.58",""
"Operator ACME HR","04/01/2018","2G GPRS Operator ACME OA","All","HR","47.36",""
"Operator ACME HR","04/01/2018","2G MBA","All","HR","100",""
"Operator ACME HR","04/01/2018","2G NA-W","All","HR","99.9",""
